BOM Variant,vad_description1,Component Variant,Quantity,Build per,Time (hrs)
10002,155-2 Assembled Can,10009,1.0,1,0.072055196
10002,155-2 Assembled Can,11193,1.0,1,0.072055196
10003,Indoor Handle Blank (Galv.),11040,29.0,1000,0.001634879
10004,2 Pint Cross Stay Blank (Galv.),11042,33.0,1000,0.002251543
10005,2 Pint Body Blank (Galv.),11055,128.0,1000,0.006436334
10007,Indoor Neck Blank (Galv.),11044,43.0,1000,0.002178997
10008,Indoor Breast Blank (Galv.),11041,56.0,1000,0.002391472
10009,Indoor Base (Galv.),11041,56.0,1000,0.002562944
10016,165-2 Assembled Can,10009,1.0,1,0.073413327
10016,165-2 Assembled Can,11194,1.0,1,0.073413327
10017,2 Pint Spout Blank (Galv'),11043,49.0,1000,0.002003153
10024,180-2 Assembled Can,10031,1.0,1,0.028060523
10024,180-2 Assembled Can,11197,1.0,1,0.028060523
10025,Indoor Handle Blank (Copper),10997,33.0,1000,0.002052276
10026,2 Pint Cross Stay Blank (Copper),11035,37.0,1000,0.002341354
10027,2 Pint Body Blank (Copper),11156,1.0,1,0.005116323
10028,2 Pint Spout Blank (Copper),11036,55.0,1000,0.00176738
10029,Indoor Neck Blank (Copper),11037,43.0,1000,0.002246833
100-2-BLU-10,The Bartley Burbler in Blue (Trade Pack),10378,10.0,1,0.055543478
100-2-BLU-10,The Bartley Burbler in Blue (Trade Pack),10370,1.0,1,0.055543478
100-2-BLU-10,The Bartley Burbler in Blue (Trade Pack),10057,10.0,1,0.055543478
100-2-DEB-10,The Bartley Burbler in Duck Egg Blue (Trade Pack),10378,10.0,1,0.055543478
100-2-DEB-10,The Bartley Burbler in Duck Egg Blue (Trade Pack),10370,1.0,1,0.055543478
100-2-DEB-10,The Bartley Burbler in Duck Egg Blue (Trade Pack),10073,10.0,1,0.055543478
100-2-GRN-10,The Bartley Burbler in Green (Trade Pack),10378,10.0,1,0.055543478
100-2-GRN-10,The Bartley Burbler in Green (Trade Pack),10370,1.0,1,0.055543478
100-2-GRN-10,The Bartley Burbler in Green (Trade Pack),10053,10.0,1,0.055543478
100-2-RCL-10,The Bartley Burbler in Recycled Plastic (Trade Pack),10378,10.0,1,0.055543478
100-2-RCL-10,The Bartley Burbler in Recycled Plastic (Trade Pack),10370,1.0,1,0.055543478
100-2-RCL-10,The Bartley Burbler in Recycled Plastic (Trade Pack),11112,10.0,1,0.055543478
100-2-RED-10,The Bartley Burbler in Red (Trade Pack),10370,1.0,1,0.055543478
100-2-RED-10,The Bartley Burbler in Red (Trade Pack),10378,10.0,1,0.055543478
100-2-RED-10,The Bartley Burbler in Red (Trade Pack),10061,10.0,1,0.055543478
100-2-SAG-10,The Bartley Burbler in Sage (Trade Pack),10378,10.0,1,0.055543478
100-2-SAG-10,The Bartley Burbler in Sage (Trade Pack),10370,1.0,1,0.055543478
100-2-SAG-10,The Bartley Burbler in Sage (Trade Pack),10069,10.0,1,0.055543478
100-2-YEL-10,The Bartley Burbler in Yellow (Trade Pack),10370,1.0,1,0.055543478
100-2-YEL-10,The Bartley Burbler in Yellow (Trade Pack),10378,10.0,1,0.055543478
100-2-YEL-10,The Bartley Burbler in Yellow (Trade Pack),10065,10.0,1,0.055543478
10030,Indoor Breast Blank (Copper),10998,63.0,1000,0.00251606
10031,Indoor Base (Copper),10998,63.0,1000,0.002526257
10053,Moulded Can with Rose - 100-2-GRN,SUB10053,1.0,1,0.0
10053,Moulded Can with Rose - 100-2-GRN,10275,1.0,1,0.0
10057,Moulded Can with Rose - 100-2-BLU,SUB10057,1.0,1,0.0
10057,Moulded Can with Rose - 100-2-BLU,10275,1.0,1,0.0
10061,Moulded Can with Rose - 100-2-RED,SUB10061,1.0,1,0.0
10061,Moulded Can with Rose - 100-2-RED,10275,1.0,1,0.0
10065,Moulded Can with Rose - 100-2-YEL,SUB10065,1.0,1,0.0
10065,Moulded Can with Rose - 100-2-YEL,10275,1.0,1,0.0
10069,Moulded Can with Rose - 100-2-SAG,SUB10069,1.0,1,0.0
10069,Moulded Can with Rose - 100-2-SAG,10275,1.0,1,0.0
10073,Moulded Can with Rose - 100-2-DEB,SUB10073,1.0,1,0.0
10073,Moulded Can with Rose - 100-2-DEB,10275,1.0,1,0.0
10076,150-1-RCL Rose,SUB10076,1.0,1,0.0
10076,150-1-RCL Rose,10271,1.0,1,0.0
10077,150-1-GRN Rose,SUB10077,1.0,1,0.0
10077,150-1-GRN Rose,10271,1.0,1,0.0
10081,150-1-BLU Rose,SUB10081,1.0,1,0.0
10081,150-1-BLU Rose,10271,1.0,1,0.0
10085,150-1-RED Rose,SUB10085,1.0,1,0.0
10085,150-1-RED Rose,10271,1.0,1,0.0
10089,150-1-YEL Rose,SUB10089,1.0,1,0.0
10089,150-1-YEL Rose,10271,1.0,1,0.0
10093,150-1-SAG Rose,SUB10093,1.0,1,0.0
10093,150-1-SAG Rose,10271,1.0,1,0.0
