Variant code,Variant description,Estimated cost
10344,155-2 & 160-2 Carton,0.43
10347,Pre Galv. Steel Sheet - 0.4mm (Stocked per KG),0.6
10350,Powder - Cream (Stocked per KG),6.07
10353,165-2 Fitment,0.187
10356,Powder - Duck Egg Blue (Stocked per KG),4.25
10357,Powder - Graphite (Stocked per KG),7.3
10358,Powder - Sage (Stocked per KG),6.87
10361,Copper Sheet - 0.4mm (Stocked per KG),7.49
10364,565 Fitment,0.3274
10369,9222 Jug Unpainted ,4.8667
10370,100-2 Trade Carton,0.8532
10373,Mist Sprayer - Copper ,5.1333
10376,Mist Sprayer - Brass ,3.9233
10377,Mist Sprayer - Nickel ,4.75
10378,Small Adhesive Embossed Medallion 28mm,0.0164
10379,150-1-RCL Can Body,0.7317
10380,150-1-RCL Can Base,0.1482
10381,150-1-GRN Can Body ,0.7316
10382,150-1-GRN Can Base ,0.1472
10383,150-1 & 2915 Trade Carton ,0.6134
10385,150-1-BLU Can Body ,0.7124
10386,150-1-BLU Can Base ,0.1444
10387,150-1-RED Can Body ,0.7
10388,150-1-RED Can Base ,0.143
10389,150-1-YEL Can Body ,0.569
10390,150-1-YEL Can Base ,0.113
10391,150-1-SAG Can Body ,0.7182
10392,150-1-SAG Can Base ,0.1459
10393,150-1-DEB Can Body ,0.7015
10394,150-1-DEB Can Base ,0.1433
10407,450 Can Green ,2.58
10419,850 Can Green ,3.94
10421,169-1.5 Trade Carton ,0.9611
10425,169 & 170-1.5-GRN Body Green ,1.95
10426,169 & 170-1.5-GRN Lid Green ,1.15
10434,No.2-3 Ferrule Cap ,0.0373
10441,0.5mm Pre Galv. Steel (Stocked per KG),0.69
10442,0.5mm Zinc Sheet (Stocked per KG),5.466
10444,No.4 Ferrule Cap ,0.0517
10445,198-1 Carton,0.8613
10447,Powder - Burgundy (Stocked per KG),6.7842
10455,198-2 Carton ,1.5504
10466,F1 - Header Card (Fine as Rain),0.0605
10467,F7 - Trade Carton,0.218
10468,Brass Coil - 82.55x0.36 63/37 1/4 Hard (BC010) (Stocked per KG)  (Lead Content less than 0.1%),8.72
10470,F2 - Header Card (Fine as Rain),0.0605
10472,Brass Coil - 70.03x0.36 63/37 1/4 Hard (BC050) (Stocked per KG)  (Lead Content less than 0.1%),8.72
10474,F3 - Header Card (Fine as Rain),0.0764
10477,F4 - Header Card (Fine as Rain),0.0605
10479,Brass Coil - 101.6x0.36 63/37 1/4 Hard (BC037) (Stocked per KG)  (Lead Content less than 0.1%),4.46
10481,F5 - Header Card (Fine as Rain),0.0605
10483,Brass Coil - 115.89x0.406 70/30 Soft 60-80 VPN (BC022) (Stocked per KG)  (Lead Content less than 0.1%),8.32
10485,F6 - Header Card (Fine as Rain),0.0605
10487,Brass Coil - 120.65x0.36 63/37 1/4 Hard (BC025) (Stocked per KG)  (Lead Content less than 0.1%),4.46
10489,F7 - Header Card (Fine as Rain),0.0972
10490,Piston Guide for pump repairs,2.25
10492,F8 - Header Card (Fine as Rain),0.0612
10495,F9 - Header Card (Fine as Rain),0.0606
10497,Brass Coil - 101.6 x 0.305 70/30 1/4 Hard (BC035) (Stocked per KG)  (Lead Content less than 0.1%),7.43
10499,F10 - Header Card (Fine as Rain),0.0764
10501,Brass Coil - 115.89x0.406 70/30 1/4 Hard 60-80 VPN (BC020) (Stocked per KG) (Lead Content less than 0.1%),5.34
10503,F11 - Header Card (Fine as Rain),0.0764
10506,F12 - Header Card (Fine as Rain),0.0764
10509,F14 - Header Card (Fine as Rain),0.0764
10512,F16 - Header Card (Fine as Rain),0.0764
10514,"Brass Tube - 0.630""OD x 0.539-0.5410""ID x 1350mm - Semi Hard (Stocked per KG) (Lead Content Less than 0.1%)",9.49
10515,Brass Tube - 22mm OD x 1.22mm Wall x 1350mm  (Stocked per KG) (Lead Content less than 0.1%),9.55
10516,"Brass Tube - 3/8""OD x 0.260""ID x 1350mm (Stocked per KG) (Lead Content less than 0.1%)",17.95
10517,Brass Tube - 24mm OD x 21mm ID x 1350mm  (Stocked per KG) (Lead Content less than 0.1%),9.49
10518,"Brass Tube - 11/16""OD x 19Gauge (+0"" -0.001"") x 1350mm (Stocked per KG) (Lead Content less than 0.1%)",10.0
10520,Net Bag ,0.1373
10522,No.2-3 Downspout Green ,0.105
10526,Brass Coil - 122.24x0.406 70/30 Dead Soft (BC030) (Stocked per KG)  (Lead Content less than 0.1%),8.99
10530,Brass Coil - 63.5x0.36 63/37 1/4 Hard (BC005) (Stocked per KG) (Lead Content less than 0.1%),4.98
10532,300 Baby Rose Tray,0.155
10536,Brass Coil - 54x0.305 70/30 Dead Soft (BC001) (Lead Content less than 0.1%),7.11
10540,Brass Coil - 35.0x0.36 63/37 1/4 Hard (BC110) (Stocked per KG) (Lead Content less than 0.1%),7.81
10541,Brass Coil - 42x0.36 63/37 1/4 Hard (BC075) (Lead Content less than 0.1%),7.45
10542,Spray Lance Carton,0.308
10544,'O' Ring - Threaded Rose - Haws Spray Lance,0.04
10546,'O' Ring - Hose Fitting - Haws US Spray Lance ,0.04
10548,Brass Rod - 8mm Dia.(Round) (Stocked per KG),4.4
10550,"Brass Rod - 11/16"" Dia. (Round) (Stocked per KG)",7.24
10551,Brass Tube - ¼” OD x 16SWG (Stocked per KG) (Lead Content less than 0.1%),9.05
10553,"Brass Rod - 3/8"" Dia. (Round) (Stocked per KG)",5.27
10554,Brass Rod – 18mm A/F (Hex) (Stocked per KG),6.9357
10555,"Brass Tube - 5/16""OD x 13SWG (Stocked per KG) (Lead Content less than 0.1%)",14.85
10556,Brass Tube - 12.7mm OD x 8mm ID wall thickness 2.3mm  (Stocked per KG) (Lead Content less than 0.1%),12.95
10557,"Brass Rod - 1/2"" Dia. (Round) (Stocked per KG)",5.19
10558,Small clear plastic bag,0.0066
10560,"Brass Rod - 1"" x 3/4"" (Bar) (Stocked per kg)",8.75
10561,Steel Sheet - 1mm (Stocked per KG),0.595
10565,"Brass Tube - 5/8"" OD (Stocked per KG) (Lead Content less than 0.1%)",12.95
10566,"Brass Rod - 0.820"" A/F (Hex) (Stocked per KG)",7.07
10567,"Brass Rod – 1.25"" Dia. (Round) (Stocked per KG)",7.64
10568,"Brass Rod - 13/16"" Dia. (Round) (Stocked per KG)",5.72
10569,"Brass Rod - 0.920"" A/F (Hex) (Stocked per KG)",6.96
10570,Brass Reeded Tube – ½” Dia. (Stocked per KG),15.85
10572,"Brass Rod - 0.600"" A/F (Hex) (Stocked per KG)",6.9485
10573,Brass Rod – 16mm Dia (Round) (Stocked per KG),6.31
10576,PVC Sheet - 6mm Grey (Stocked per M2),17.72
10577,Steel Disc Blank - Circular Spray Nozzle,0.0
10578,Brass Rod - ½” Dia. (Round) (Stocked per KG),6.27
10580,"Brass Rod - 1"" Dia. (Round) (Stocked per KG)",6.95
10583,"PVC Rod - 1"" Dia. Black (Round) (Stocked per Meter)",5.52
10585,Brass Rod - 20mm Dia. (Round) (Stocked per KG),3.96
10586,Brass Rod – 16mm A/F (Hex) (Stocked per KG),4.94
10587,"1.5"" Aluminium Round (Stocked per Meter)",21.1517
10588,Steel Tube - 10mm Dia. 1mm Wall (Stocked per Length),0.0
10591,"Machine Screw - M3 x 6mm, Pan Head, Bright Zinc  ",0.1729
10625,Powder - Black (Stocked per KG),3.45
10626,68mm Black PVC Down Pipe (Stocked per Meter),3.3
10627,"Brass Rod - 0.710"" A/F (Hex) (Stocked per KG)",0.0
10628,Brass Coil – 54 x 0.406mm 70/30 Dead Soft (BC002) (Stocked per KG) (Lead Content less than 0.1%),5.6
10629,"Brass Rod - 3/4"" Dia. (Round) (Stocked per KG) (Lead Content less than 0.1%)",6.32
10631,"Brass Rod - 7/8"" Dia (Round) (Stocked per KG) (Lead Content less than 0.1%)",5.2404
10633,Viton Rubber Sheet - 2mm (Stocked per M2),210.0
10634,Brass Rod – 35mm (Hex) (Stocked per KG) (Lead Content less than 0.1%),4.6
10635,Brass Rod - 11mm A/F (Hex) (Stocked per KG) (Lead Content less than 0.1%),6.5182
10651,Steel Rod - 4mm Dia. (Round) (BDMS) (Stocked per KG),0.0
10658,1/4'' Brass Double Nipple 16 Bar,0.0
10659,Powder - BR Green RAL6005 (Stocked per KG),4.31
10661,Pre Galv. Steel Coil – 17.75mm x 0.9mm (Stocked per KG),0.0
10662,Steel Strip - 1.5mm x 60mm CR (Stocked per KG),0.0
10663,Pre Galv. Steel Coil – 76mm x  0.9mm (Stocked per KG),0.0
10665,"Spring Steel Strip – 1.969"" x 0.32"" (0.8mm) Bright Annealed to BS 1449 CS70 (Stocked per KG)",0.0
10720,"Brass Rod - 7/16"" Dia. (Round) (Stocked per KG) (Lead Content less than 0.1%)",5.1225
10721,CR Steel Sheet - 1.5mm (Stocked per KG),1.5
10751,Powder - Titanium (Stocked per KG),9.78
10752,155-1 & 160-1 Carton,0.3863
10782,Copper Sheet - 0.5mm (Stocked per KG),7.5
10785,"Copper Tube - 1"" OD 20SWG (Stocked per Meter)",0.0
10812,Water Well Wrap ,0.1354
10814,2.5mm x 328mm Steel Wire (Stocked per Piece),0.0648
10849,12mm Blue Poly Tube (Stocked per Meter) ,2.969
10850,Plastic Powder - Black (Stocked per KG),10.93
10853,Water Well - Moulded,0.0
10866,0.5mm CR Steel (Stocked per KG),0.485
10867,PVC Rod - 35mm Dia. Grey (Round) (Stocked per Meter),0.0
10868,"Bolt - M8 x 35mm, Zinc Plated",0.0756
10917,790 Galvanised,19.55
10925,M6 Threaded Rod for Handle,4.158
10940,F12 - Hose Adapter (Fine as Rain),0.3155
10940-A,F12 Hose Adaptor O'ring,0.04
10960,Injector Rod Lever - Stamping,2.2965
10978,Eclipse Pump Carton,2.25
10983,Steel Rod - 2.5mm Dia. (Round) (BDMS) (Stocked per KG),0.0
10985,Powder - Turquoise,9.75
10986,Powder - Purple,0.0
10997,Copper Coil C106 1/2 Hard - 181mm x 0.4mm (Stocked per Kg - 25Kg Coil),9.65
